"reschm44ff","resrmm44ff","reschh44ff","isrmh44ff","isdkrm44ff","reshse44ff","lockhs44ff","yell44ff","ridicu44ff","C_PC_REL","C_PC_SCH","C_PC_VOL","C_PC_POL","C_PC_ACT","C_PC_SMOK","C_PC_ALC"
2,2,1,2,1,1,1,4,1,NA,NA,NA,NA,NA,NA,NA
3,2,1,1,1,1,1,3,1,0,1,0,0,1,0,0
1,4,1,4,1,1,1,4,1,0,0,0,0,1,1,0
2,1,1,1,1,1,1,4,1,NA,NA,NA,NA,NA,NA,NA
4,4,1,1,1,1,1,4,1,0,1,0,1,1,0,1
3,1,3,1,1,4,1,4,1,NA,NA,NA,NA,NA,NA,NA
4,2,2,2,1,2,1,4,1,0,1,1,0,1,0,0
1,1,1,1,1,1,1,4,1,1,1,1,0,1,0,0
1,4,1,3,1,1,1,4,1,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
